run_id,class,primary_signal,justification
7479d3f8-64b9-490a-94e3-73313662fbbd,A,"iter=2-6: write_file(csv.js)→bash(verify)→write_file cycles, result_changed_vs_previous_same_call=True at iter 6","Repeated edit/verify cycles on csv.js across 3+ iterations attempting convergence."
7108f8a0-f6ae-4ce1-b862-4d8a34664b80,F,"iter 7 result_changed_vs_previous_same_call=True + exit_code=0","Successful completion with 2 edits and convergence; no failure signature matches A-E."
402cb878-ef85-415a-87af-dc1da0ee7213,A,"iters 3-20: 8 workspace_changed=True edits to csv.js interspersed with bash verification","Repeated edit/verify cycles on csv.js across 18 iterations; model attempting to converge."
f0a49ba9-e4f9-49f3-91be-67381b658141,F,"iter_11 result_changed=True exit_code=0","Run succeeded with edit-verify cycles; no failure-mode signature detected."
ee01d536-5305-46b3-b4ef-5f3d56e20086,F,"no_failure_signal","Clean 7-iter run, 2 edit/verify cycles converge to exit_code=0; no failure mode."
f06eb8f6-3cba-467f-92ff-6ff51ee83eae,A,"iters 3-24: repeated write_file(csv.js) + bash(verify) cycles without early convergence","9 edits across 25 iters on same file with intervening verification."
990f9451-77db-4bee-beff-a8c7472c253c,F,"exit_code=0;iter_count=12","Successful run with no failure-mode signature; clean coding task with converging edits."
d2b4cd9d-d0f0-4c28-bbd5-3ba3508cb06d,F,"successful_completion","Clean 5-iter run: exploration→solution→verification. No repeats, no errors."
1d5f99c2-2edb-4d6b-9cab-a58dd8eb3edd,F,"exit_code=0","Successful run with linear search-read-write-verify flow; no failure-mode signatures."
3942ddfa-bf70-4bea-9017-02e2cc1580c4,A,"iters 3-13 bash verify loop","3+ edit-verify cycles on csv.js without convergence."
f2f04895-b55c-4b7a-b0d4-c07ad9730412,F,"exit_code=0_iter8_result_changed","Normal successful task: 9 iters, 2 writes, result improved iter 8, no failure mode."
0d484346-2046-49dd-b1b5-cd5f1dcd2c08,F,"successful_completion_masks_iteration_pattern","Run succeeded (exit_code=0) despite 12 iters + 3 writes; insufficient failure signal for A-E."
6ff4e5da-7497-4de9-a1de-a5018057055b,C,"iter 15 max_input_tokens 5300","Context boundary hit early; lost state recovery fails with wrong tools; Sleep loops without convergence."
ec918d35-c718-4c27-95b7-94f4f3a8f9f1,F,"successful_convergence","Successful run with 4 iters, 1 edit, 0 errors. No failure signature."
6828e82c-4507-4a25-bd6d-1e950573bda3,E,"iter 6: 216.8s gap_ms on repeated bash (same result). 90% runtime non-model; 6 iters normal","Massive non-model gap with normal iter count; bash-repeat at iter 6 burned 216s of wallclock."
8c7acde1-f830-4a90-baa1-e5b74bf86b3f,E,"total_model_elapsed_ms=32113/iter_count=10","Normal iterations but high model latency; successful completion."
6c5a8973-3758-4a7c-80c0-1051839aacd2,F,"exit_code=0_workspace_changed=3","Successful completion; no A-E failure signature detected. Normal iteration progression."
2c4a5b21-56f6-4060-b0e7-51c206868319,C,"input_tokens 70.5% at iter 6","Input context pressure 70-80% threshold met; tight iteration sequence suggests constrained re-reasoning."
d40efe14-de55-4e2c-b05c-1c948cefdac7,F,"successful_completion","No failure signature; normal iterative refinement path to success."
cda5e65b-e927-4e8f-a7fc-f2396c107ac9,F,"successful_completion","Run completed successfully (exit_code 0); does not exhibit failure-mode signatures A-E."
59714683-7b9a-4bbb-8337-66b67c380444,F,"successful_completion","Successful run with normal iteration pattern; no failure signature matches A-E criteria."
56e0ca45-d011-4685-b904-9bdcac365cc0,F,"exit_code=0 no_progress_repeat_count=0","Successful run with normal iteration progression; no failure signature detected."
d5b7b701-281e-4c0f-8e75-70048877be7d,F,"success_no_failure_signature","Clean completion in 10 iters; 2 workspace changes; 0 repeat failures; no context/infra signals."
e1b402ac-e016-4082-9a54-dcee8cbaaef3,F,"iter14_successful_refactor","Successful completion (exit=0); 16 iters normal; 7 workspace changes show progress."
3706037d-e1c1-445d-be00-907b42e71bb4,F,"exit_code=0 iter_count=9","Successful completion; no failure signals match A-E criteria."
7b75648c-7be4-4cee-8309-bb7265ca1090,F,"successful_termination","Successful run (exit_code=0) with 3 workspace edits across 10 iters; sparse trace prevents A-E discrimination."
