run_id,class,primary_signal,justification
6ff4e5da-7497-4de9-a1de-a5018057055b,D,"iter=3-45: 45 iterations, only 3 workspace_changed, repeated bash/Sleep/error tool calls with no progress; result_changed_vs_previous_same_call=False iter 43","Stuck in dead-branch tool loop (Sleep, TaskGet, Skill errors) without workspace progress."
6828e82c-4507-4a25-bd6d-1e950573bda3,E,"iter=6: total_non_model_gap_ms=216887 (cell p90 far exceeded), iter_count=6 (normal), model_ms=23141","Massive non-model gap (216s infrastructure latency) dominates normal iteration count."
33f0ef8f-78ee-47d0-8791-b58525edcf73,A,"iter=3-15: repeated write/edit/bash cycles on expr.js; no convergence to passing state","Verify-loop across 12 iters with 6 workspace edits attempting algorithm fixes."
0391be89-5fec-4363-a92d-0ce73872d1ea,F,"iter_count=0, terminal_status=error, no tool calls executed, orphan_bridge_record","Harness exited before agent execution; insufficient trace."
5d672641-62c9-479c-9119-b501a22d26cf,C,"iter=2,19: read_file verify.js at iter 2 and iter 19 (result_changed_vs_previous_same_call=False), no intervening edit to verify.js","Lost state: re-read already-established facts without intervening workspace changes."
2581b0a1-337f-43ec-aa4c-963b84facae6,E,"iter=6: total_model_elapsed_ms=205422 (>>p90), total_non_model_gap_ms=34602, iter_count=6 (normal); iters 4,5,6 writes without verification","High infrastructure/model time despite low iteration count."
77947510-8f7a-46f6-ac67-bcf772ac5eaa,A,"iter=3-10: write/edit/bash verify cycles on expr.js; iter=10 bash result_changed_vs_previous_same_call=True (same failure repeating)","Verify-loop: repeated attempts to fix parsing without convergence."
c93bc980-ec99-411e-9a7f-1943a37a41b1,A,"iter=4-14: 4 edits to expr.js with 4 intervening bash verify calls; iters 7,9,11,13 edits, 5,8,10,12 verifies","Verify-loop across 10 iters: sustained edit/bash cycles attempting to fix algorithm."
78af6409-dbaa-40d4-9ba4-6e921f3f106e,D,"iter=4-19: 19 iters, workspace_changed_count=1 (only iter 3), 85% bash/grep calls; iter=17 bash result_changed_vs_previous_same_call=True","Dead-branch: repeated verify bash calls without workspace progress (no new attempts)."
a519015a-0886-4ee4-96a9-0bbbb93434a9,A,"iter=3-12: write verify.js iter 3, then writes expr.js iters 5,7,9,10,11,12; interspersed bash verify iters 4,6,8; iters 10,11,12 consecutive writes","Verify-loop: rapid write/bash cycles attempting to implement & verify without convergence."
6c584064-4578-4836-bbc3-550237fb7e97,A,"iter=3-9: write expr.js iter 3, edits iters 5-8 (4 consecutive), bash verify iters 4,9; iter=9 bash result_changed_vs_previous_same_call=True","Verify-loop: 4 consecutive edits followed by repeated verify call with same result."
6e6843b2-24a4-4998-a55b-5fb398150ae5,A,"iter=3-14: write expr.js iter 3, edits iters 5-9 (5 in 7 iters), bash verify iters 4,10,13; iter=13 repeat call=true","Verify-loop: 5 edits on expr.js with repeated bash verify attempts."
1d367c92-001b-454c-b69c-d32c801c8984,A,"iter=3-11: write expr.js iter 3, edit/bash cycle iters 4-9 (3 edits alternating with 3 verifies), writes iters 10-11","Verify-loop: sustained edit/bash verify cycles attempting to fix expression evaluator."
8fee0126-0c2c-4afb-a0a0-1daaef6aaa3f,C,"iter=9,11,12,15: edit_file errors 'old_string not found in file' (4 errors); no_progress_repeat_count=4; iters 17,19 bash repeat=true","Context-drift: repeated edit failures indicate lost file state due to context pressure."
