run_id,class,primary_signal,justification
7479d3f8-64b9-490a-94e3-73313662fbbd,P1,"iters 2-6: alternating write/bash with workspace_changed at 2,4,5","Tight verify-driven refinement with evenly-spaced workspace changes."
7108f8a0-f6ae-4ce1-b862-4d8a34664b80,P2,"iters 4-5: two consecutive bash with ws=None then iter 6: write_file","Exploration block before late rewrite."
402cb878-ef85-415a-87af-dc1da0ee7213,P2,"iters 4-8: five consecutive bash with ws=None then iter 9: write_file output_tokens=877","Clear bash-only exploration stretch before major rewrite."
f0a49ba9-e4f9-49f3-91be-67381b658141,P1,"iters 2-10: alternating write/bash with workspace_changed at 2,4,6,9,10","Continuous verify-driven engagement across run."
ee01d536-5305-46b3-b4ef-5f3d56e20086,P1,"iters 3-6: alternating write/bash pattern workspace_changed at 3,5","Tight refinement cycle with write-verify pairs."
f06eb8f6-3cba-467f-92ff-6ff51ee83eae,P1,"iters 3-23: nine workspace_changed events with mixed write/bash alternation","Dominant pattern is continuous engagement with writes throughout."
990f9451-77db-4bee-beff-a8c7472c253c,P2,"iters 4-9: six iterations of bash/read exploration then iter 10: write","Exploration block followed by final rewrite."
3942ddfa-bf70-4bea-9017-02e2cc1580c4,P2,"iters 3-6: four consecutive bash with ws=None then iter 7: write_file output_tokens=968","Clear exploration block before rewrite."
0d484346-2046-49dd-b1b5-cd5f1dcd2c08,P2,"iters 4-9: six iteration bash/read exploration block then iter 10: write","Exploration phase followed by major rewrite."
8c7acde1-f830-4a90-baa1-e5b74bf86b3f,P1,"iters=3-9: alternating write/edit with bash-verify every 1-2 iters; ws_changed at 3,6,8","Tight write-edit-verify engagement with no exploration gap or write churn."
6c5a8973-3758-4a7c-80c0-1051839aacd2,P1,"iters=3-7: write then rapid edits (5-6) followed by final verify bash","Immediate edit response to write with continuous workspace engagement."
2c4a5b21-56f6-4060-b0e7-51c206868319,P1,"iters=3-8: alternating write/bash/edit/bash/edit pattern; ws_changed=3","Tight verify-driven refinement without exploration or rewrite excess."
d40efe14-de55-4e2c-b05c-1c948cefdac7,P1,"iters=3-17: continuous write/edit/bash mix; workspace_changed_count=9","Proportional mix of writes (3) and edits (6) spread across run; no gap."
cda5e65b-e927-4e8f-a7fc-f2396c107ac9,P1,"iters=3-11: write→bash→edit→bash→read→edit→bash→edit→bash; ws_changed at 3,5,8,10","Textbook P1: every 2-3 iters workspace changes with tight verify feedback loop."
59714683-7b9a-4bbb-8337-66b67c380444,P1,"iters=3-11: write then continuous edit/bash alternation; ws_changed at 3,6,8,10","Continuous engagement throughout with no pure-exploration gap."
56e0ca45-d011-4685-b904-9bdcac365cc0,P1,"iters=3-7: write→bash→edit→write→bash; ws_changed at 3,5,6","Tight verify-driven refinement despite two writes; no exploration gap."
d5b7b701-281e-4c0f-8e75-70048877be7d,P2,"iters=4-7: four consecutive bash with no workspace change; iter=8 edit_file","Read-only exploration block followed by late workspace-changing edit response."
e1b402ac-e016-4082-9a54-dcee8cbaaef3,P4,"iter_count=16 workspace_changed_count=7 write_file=5 edit_file=2","Five full rewrites for incremental fixes; excessive write churn vs proportional edits."
3706037d-e1c1-445d-be00-907b42e71bb4,P1,"iters=3-8: write/edit/bash alternation with ws_changed at 3,5,7","Tight verify-driven refinement."
7b75648c-7be4-4cee-8309-bb7265ca1090,P1,"iters=3-8: write→bash→edit pattern with ws_changed every 2-3 iters through run","Tight verify-driven refinement with minor 2-bash gap; not exploration-dominant."
54821247-a1b4-4e5b-9ce5-c3703ebbe640,P2,"iters=9-13: five consecutive bash-only; then iter=18 write_file output_tokens=1711","Exploration block then late rewrite breakthrough."
3b08a713-b31a-45db-93ff-428acfb0968c,P2,"iters=5-7: bash exploration block; iters=9-12: late writes+edits","Exploration stretch then late workspace-changing edits."
054b203e-1ba1-49fd-ae05-4b9612f5d684,P4,"iter_count=14 write_file_count=4 edit_file_count=2 workspace_changed_count=6","Four full rewrites with only 2 edits; high-write-churn signature."
ca26e07f-e350-4b06-ace9-8f2d1d927b0a,P2,"iters=6-9: bash exploration; iters=10-13: dense workspace-changing edits","Exploration block then dense late-edit phase."
80859dae-b084-495f-8791-e41d2a0af721,P3,"iter=6 last converged; iters=7-17: nine bash iterations with no workspace change","Late tail of pure bash verifies after convergence; productive prefix + unproductive suffix."
a26a7976-b900-4c2d-ad4e-14bba3109848,P3,"iter=5 last converged; iters=6-20: pure bash tail with no successful edits","Long unproductive verify tail after early convergence; workspace_changed_count=2."
