run_id,class,primary_signal,justification
6ff4e5da-7497-4de9-a1de-a5018057055b,D,"iter=20,32,33: TaskGet/REPL/Skill errors (unsupported tools); iter=3-45: bash repeated, no workspace_changed=true between","Model attempts invalid tools then loops bash without progress; censored at 45 iters."
6828e82c-4507-4a25-bd6d-1e950573bda3,E,"iter=6: gap_ms=216810; iter_count=6 (low); total_non_model_gap_ms=216887 dominates wallclock","Massive non-model gap on a normal-iter-count run; infrastructure latency spike."
33f0ef8f-78ee-47d0-8791-b58525edcf73,A,"iter=3,7,9,15: write_file to expr.js; iter=4,8,10,12,13: bash verify; max_input_tokens=7966 (~80% ctx)","Repeated edit/verify cycles on expr.js across 15 iters without convergence; timeout."
0391be89-5fec-4363-a92d-0ce73872d1ea,F,"iter_count=0; terminal_status=error; join_status=orphan_bridge_record","Harness exited before first tool call; no trace available to discriminate."
5d672641-62c9-479c-9119-b501a22d26cf,A,"iter=3,4,6,12,17: write_file to expr.js; iter=5,7,9,10,11,13,15,16,18: bash; iter=21: read with no change vs iter 20","Sustained edit/verify loops on expr.js across 21 iters; final reads show no convergence; timeout."
2581b0a1-337f-43ec-aa4c-963b84facae6,A,"iter=2,4,5,6: write_file to expr.js; iter=3: bash verify; model_ms 50K-67K per iter","Compressed verify-loop with 4 writes and 1 verify; high model cost per iter; timeout cut it short."
77947510-8f7a-46f6-ac67-bcf772ac5eaa,A,"iter=3,6,8,9: write_file to expr.js; iter=4,7: bash verify; iter=5: edit; iter=10: bash with result_changed_vs_previous_same_call=True","Repeated edit/verify cycles on expr.js; final bash repeats prior call indicating non-convergence; timeout."
c93bc980-ec99-411e-9a7f-1943a37a41b1,A,"iter=3-14: repeated edit/write cycles on expr.js with workspace_changed=true; input_tokens=50752 near saturation","Sustained edit-verify loop across 7+ iterations without approaching solution; terminal error."
78af6409-dbaa-40d4-9ba4-6e921f3f106e,D,"iter=7-19: repeated bash calls (same arg_hash) with result_changed_vs_previous_same_call=false and workspace_changed=false","18 iterations of identical bash calls producing no new information or workspace state change; timeout."
a519015a-0886-4ee4-96a9-0bbbb93434a9,C,"iter=10-12: input_tokens max=10905; three consecutive writes without verify; context pressure evident","Rapid file rewrites without intervening verification indicate lost state and context drift; timeout."
6c584064-4578-4836-bbc3-550237fb7e97,A,"iter=5-8: four consecutive edits on expr.js; iter=9 verify; iter=10 final write attempt","Edit-verify loop with sustained attempt to fix module; no convergence; terminal error."
6e6843b2-24a4-4998-a55b-5fb398150ae5,A,"iter=3-14: write/edit/bash cycles repeated on expr.js; workspace_changed=7 of 14 iters","Repeated edit-verify cycles across 10+ iterations without achieving convergence; terminal error."
1d367c92-001b-454c-b69c-d32c801c8984,A,"iter=3-11: alternating edit/bash cycles on expr.js; iter=10,11 final two writes","Sustained edit-verify loop across 9 iterations with final large-output writes indicating unresolved issue; terminal error."
8fee0126-0c2c-4afb-a0a0-1daaef6aaa3f,D,"iter=9,11,12,15: edit_file same arg_hash repeated; result_changed_vs_previous_same_call=false; signature='old_string not found'","Four repeated edit attempts with identical arg_hash failing identically; no progress possible; timeout."
